DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CAYUGA ISD,001902,001 ANDERSON,07,3,593,4.7,9.4,80.8,0,0.5,0,4.6,49.7,1.3,14,1.3,28.3,5.1,95.3,0,97.8,100,100,46,44,86,61,23,89,69,28,84,61,26,85,54,15,80,40,10,67,43,7,83,55,20,87,63,25,,,,-1,-1,-1,,,,86,60,14,82,54,16,63,27.6,1009,-1,102,48.4,1.5,3.6,6.2,47.5,16.2,25.1,94667,73737,57090,56317,12.5,5.8,12.3,15.8,14.5,21.3,14.7,4,0,96,0,0,0,0,85.4,6.7,0,0,7.9,0,533212,1.038,11722948,20423,11722948,35.9,41.5,22.6,0,4497879,0,10018063,9697033,16894,49.3,10.1,3.7,10.6,26.3,4780251,8328,30.5,26.6,9.2,0.1,4,0,3.8,0,0,24.2,500 to 999,Rural,"$523,458 to < $547,824",Under $1.0600
ELKHART ISD,001903,001 ANDERSON,07,4,1194,4,11.3,79.3,0.3,0.5,0.1,4.5,59,2.9,13.7,2.9,21.9,4.7,95.1,0,100,100,98.9,69,69,84,55,21,83,60,22,82,48,15,85,58,24,88,61,30,45,23,3,81,47,17,86,58,22,100,80,60,100,71,43,-1,-1,-1,80,48,18,73,41,15,44.9,41.9,1021,-1,189,104.5,1.1,2.4,5.2,55.3,16.7,19.3,104408,78458,60509,47305,13.2,6.3,11.4,25.8,13.1,14.8,17.1,3.8,6.7,89.5,0,0,0,0,69.5,9.7,5.2,0.7,13.5,1.4,278083,1.244,17049406,14826,16091795,61.2,23.9,15,957611,5142151,0,17979102,14729781,12809,57.7,6.9,5.3,10.8,19.4,8496231,7388,41.6,8.2,6.5,0.1,8.4,0,3.7,0,0,29.3,"1,000 to 1,599",Non-metropolitan Stable,"$251,917 to < $316,888",$1.1800 to under $1.3001
FRANKSTON ISD,001904,001 ANDERSON,07,3,801,8,11.4,75,0.6,0.9,0,4.1,58.8,4.4,14.5,4.4,44.3,6.5,95.1,0.8,97.8,95.2,100,45,43,84,56,21,86,59,22,83,55,18,83,54,24,85,50,22,80,45,10,74,51,15,86,58,23,100,71,14,100,62,23,,,,85,44,19,80,49,15,95.6,32.6,1016,-1,141.7,68,1.4,4,1.9,48,16,28.7,107716,73441,59435,52574,11.8,5.7,11.8,35.9,11.3,20.2,24.5,2.9,2.9,94.1,0,0,0,0,86.4,8.2,4,0,1.3,0,420387,1.259,13631031,16870,12716801,54.3,24.2,21.5,914230,4695391,0,12681877,11253313,13927,51.6,7.8,5.5,16.2,19,5801693,7180,27.6,8,15.7,0.2,5.3,0.1,6,0,1.7,33.7,500 to 999,Rural,"$399,525 to < $437,254",$1.1800 to under $1.3001
NECHES ISD,001906,001 ANDERSON,07,2,309,7.4,12.6,77,0.3,0.3,0,2.3,56.3,2.3,12,1.9,41.4,7.1,93.8,0,100,100,97,24,18,88,60,18,91,58,15,84,65,26,80,58,15,92,60,12,78,41,5,89,58,18,88,63,20,-1,-1,-1,-1,-1,-1,,,,100,67,11,84,50,9,54.2,61.5,1097,,62.2,28.1,3.3,8,3.2,45.1,16.9,23.4,94655,73176,66243,53290,18.8,5,11,13.9,15.9,7.2,20.4,3.4,0,96.6,0,0,0,0,61.2,1.7,19.2,0,17.7,0.2,405003,1.306,5645580,16508,5149061,57.7,24.8,17.5,496519,1071655,0,5432108,4915852,14374,52.5,8.8,8.9,11.6,18.2,2580002,7544,38.3,7.1,11.6,0,5.1,0.2,0,0,0.7,35.3,Under 500,Rural,"$399,525 to < $437,254",$1.3001 and over
PALESTINE ISD,001907,001 ANDERSON,07,6,3296,24.5,43.2,27.5,0.2,0.7,0.1,3.9,80.4,17.5,14.9,15.9,36.1,1.9,93.2,0.2,95.9,100,100,233,226,73,41,13,71,42,11,74,43,14,73,41,11,73,35,14,60,26,6,73,41,11,83,55,20,58,17,0,96,89,32,60,20,0,72,43,17,69,36,9,36.5,56.5,1085,22,561.6,251.4,2.2,3.4,8.6,44.8,20.8,20.3,104242,83465,66404,51182,34.5,5.9,13.1,33.7,12.4,14.7,21.9,10.3,15.5,72.6,0,0,0,1.6,64.5,11,8.3,2.4,9.7,4.2,359167,1.347,55819770,16613,47502602,47.5,31,21.5,8317168,8302416,0,53694622,45476376,13535,51,8.3,6.1,14,20.6,23174776,6897,42.6,5.9,7.1,1.1,4.6,0.1,3.4,0,1.1,30.9,"3,000 to 4,999",Independent Town,"$355,840 to < $399,525",$1.3001 and over
WESTWOOD ISD,001908,001 ANDERSON,07,4,1414,21.1,26.9,45.8,0.7,0.4,0.1,5.1,74.5,7.5,15.8,7.1,38.3,3.8,93.4,0.2,98.1,98.9,97,95,73,69,37,12,68,40,11,68,34,12,73,35,13,70,42,20,59,25,7,66,33,9,76,47,17,,,,91,64,27,,,,65,35,13,65,33,11,55.8,15.1,974,-1,253.3,106,1.2,3.9,5.5,41.9,20.5,27,125521,73981,61015,47845,29.6,5.6,13.3,39.9,10.6,20.2,43,7.9,6.6,83.6,0.9,0.9,0,0.1,68.7,5.4,8.5,0,11.4,6.1,431648,1.011,19349558,14527,19263208,51.5,31.1,17.4,86350,2692607,0,19144754,17564812,13187,49.1,8.6,8,10.4,24,8617948,6470,34.9,9.3,8.6,0.4,5.1,0.2,4.2,0,0.8,33.6,"1,000 to 1,599",Non-metropolitan Stable,"$399,525 to < $437,254",Under $1.0600
SLOCUM ISD,001909,001 ANDERSON,07,2,349,0,6.9,89.4,0,0.6,0,3.2,51.3,1.4,16.3,1.4,5.4,2.6,95.5,0,100,100,100,28,26,86,61,24,86,65,26,85,52,18,89,66,28,95,70,32,,,,76,54,29,88,63,24,,,,,,,,,,67,40,20,81,50,18,46.4,69.2,1106,24.2,68.6,37.6,2.9,3.4,6.7,54.8,8.4,23.7,97250,86810,56112,54352,2.9,5.1,9.3,19.6,15,15,12.6,0,0,100,0,0,0,0,86.9,3,2.5,0,7.5,0,362787,1.131,6368640,17642,6189733,55.3,24.3,20.4,178907,2099501,0,6016484,5140604,14240,59.2,6.1,6.4,11.7,16.6,3042459,8428,41.5,8.4,11.1,0,6.3,0,2.6,0,0,26.9,Under 500,Rural,"$355,840 to < $399,525",$1.0600 to under $1.1800
ANDREWS ISD,002901,002 ANDREWS,18,6,4185,0.4,70,27.1,0.4,0.5,0,1.7,49.5,15.8,12.8,16.6,23.6,6.9,92.6,1.1,95.1,98.2,98,282,244,76,45,16,76,47,14,75,44,16,75,42,13,80,50,24,77,48,10,72,40,12,85,57,24,86,52,14,94,89,50,,,,82,58,26,68,34,9,48.9,29.7,1025,19,585.1,286.7,1.5,2.9,5.8,49,17.2,23.7,123962,88053,71103,62486,42.6,7.2,14.6,25.5,13.3,24.6,16.1,0.3,27.6,68.6,0.3,0.7,0,2.4,66.4,7.3,6.6,8.3,6,5.4,1173886,1.113,56842795,13760,47312859,7.5,77.8,14.7,9529936,16508717,0,67870674,50177051,12146,56.5,6.8,4.7,11.4,20.5,28335054,6859,40.6,10.9,11.3,1.7,3.6,0.5,4,0,0,26,"3,000 to 4,999",Other Central City Suburban,"$1,147,749 and over",$1.0600 to under $1.1800
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,3,996,14.6,33.2,46.8,0.2,1.1,0.6,3.5,61.2,6.2,12.6,6.2,16.5,9.7,92.5,0.4,98.4,100,100,61,59,81,53,22,82,55,23,76,49,21,87,56,22,86,56,26,71,36,12,77,44,12,88,65,32,100,100,40,90,75,50,-1,-1,-1,68,38,11,77,47,16,47.5,44.8,1106,21.6,141.7,68,4.2,4.2,9.6,48,9.9,24,93408,72488,73825,53899,17.2,7,14.6,38.9,9.8,12.6,24.6,2.9,7.4,89.7,0,0,0,0,83.1,6,5.9,0,3.6,1.5,0,0,13234716,13301,12587333,77.3,2.6,20.2,647383,0,6742521,10680765,10680765,10734,57,12.7,5.3,9.5,15.6,6083723,6114,47.6,8.3,9.5,0.2,1.6,0.5,1.3,0,0.4,28.4,500 to 999,Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,5,2763,7.1,27.5,60.4,0.3,1.1,0.1,3.5,54.1,7.2,13.6,6.5,34.2,6.3,93.5,1,96.8,95.5,96.1,186,159,87,61,24,88,65,25,88,61,26,83,54,17,82,53,25,76,39,12,83,53,19,89,67,28,80,40,7,95,76,36,-1,-1,-1,81,59,16,80,50,16,53.2,55.6,1107,22.4,433.8,216.6,1.3,3.9,6.3,49.9,8.3,30.4,122253,77197,70275,55969,18.7,6.4,12.8,23.4,13,20.4,17.1,0.5,6.9,92.2,0,0.5,0,0,61.9,13.6,6.5,0.2,8.5,9.3,234996,1.137,36006591,12864,34806631,59.9,23.6,16.5,1199960,10110609,0,36046453,31257476,11167,58.4,4.9,5.9,11.4,19.4,18254985,6522,34.6,10.7,9.9,0.7,4.8,3.8,2.3,0,0.4,28.6,"1,600 to 2,999",Non-metropolitan Stable,"$191,241 to < $251,917",$1.0600 to under $1.1800
LUFKIN ISD,003903,003 ANGELINA,07,15,7119,28.2,43.5,23.8,0.1,1,0.1,3.2,87.5,21.4,13.7,23.9,24.5,12.9,91.4,1.9,90.8,93.3,93.7,539,503,72,43,16,73,46,16,68,38,15,72,41,14,76,49,29,61,29,9,71,41,13,86,64,31,60,20,20,92,80,58,14,14,0,72,45,16,68,38,13,84,21.9,937,22.7,1317.2,563.6,1.7,3.9,9.4,42.8,13.8,28.4,100484,75654,63609,53577,42.9,5.4,12.6,39.1,11.3,20,22.2,12.4,14.7,71,0.5,0.4,0.2,0.9,71.2,9.5,0.3,5.1,5.2,8.8,392520,1.253,107598667,14703,99405002,45.1,31.4,23.5,8193665,18920040,0,130703408,98832305,13505,53.4,9.2,6.8,10.7,19.9,52789761,7214,39.3,10.5,13.5,0.9,3,0.4,1.6,0,0.5,26.7,"5,000 to 9,999",Independent Town,"$355,840 to < $399,525",$1.1800 to under $1.3001
HUNTINGTON ISD,003904,003 ANGELINA,07,5,1592,3.1,7.1,85.9,0.3,0.1,0.1,3.3,59,1.3,17.9,1.2,28.7,4.4,93,0.2,97.4,96.3,97.7,119,99,78,47,17,77,50,15,77,41,15,79,52,17,79,50,26,77,45,14,78,49,15,78,47,17,29,0,0,100,60,20,-1,-1,-1,82,50,14,73,40,11,42,30,1014,-1,270.9,123.8,1.5,3.4,9.3,45.7,12.2,27.9,211500,141109,151969,106427,5.1,5.9,12.9,34,11.7,14.9,20.6,0,3.2,96.8,0,0,0,0,71.3,11.9,7.7,0,7.7,1.3,268315,1.293,23124853,14345,21585569,56.4,22.3,21.3,1539284,4107940,0,22335411,20004104,12409,53.2,8.9,5.9,12.6,19.4,10641976,6602,33,11.3,15,0.2,4.6,0.2,3.5,0,0.7,28.2,"1,000 to 1,599",Non-metropolitan Stable,"$251,917 to < $316,888",$1.1800 to under $1.3001
DIBOLL ISD,003905,003 ANGELINA,07,6,1668,12.4,52.3,32.4,0.1,0.4,0,2.4,68,15.1,12.8,14.7,32,3.5,93.3,1.3,96.3,97.3,96.4,132,119,78,45,12,77,49,13,79,41,11,82,46,12,75,39,9,73,40,9,76,41,9,85,52,17,-1,-1,-1,100,100,60,,,,71,34,8,75,39,9,57.6,17.1,912,13.8,310.3,139.7,1.3,2.8,12,45,11.1,27.8,117962,80685,64801,58104,35.6,5.4,11.9,25.3,13,20.5,18.2,3.5,18.1,78.4,0,0,0,0,63.4,5.9,15,2.1,8.5,5.2,205039,1.211,26063988,14945,24735139,63.1,15.1,21.8,1328849,5156499,0,25944147,24084467,13810,51.4,9.2,5.8,11.4,22.1,12388405,7103,32.9,8,14.8,0.5,5.8,0.5,2.7,0,0.4,32.2,"1,600 to 2,999",Non-metropolitan Stable,"$191,241 to < $251,917",$1.1800 to under $1.3001
