"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage"
"A+ ACADEMY","057829","Spring 2025","8","112","1751","64","57","48","43","18","16","1","1"
"A+ UNLIMITED POTENTIAL","101871","Spring 2025","8","19","1703","14","74","5","26","1","5","0","0"
"ABBOTT ISD","109901","Spring 2025","8","22","1895","2","9","20","91","9","41","5","23"
"ABERNATHY ISD","095901","Spring 2025","8","33","1895","7","21","26","79","21","64","8","24"
"ABILENE ISD","221901","Spring 2025","8","1108","1809","464","42","644","58","354","32","100","9"
"ACADEMY FOR ACADEMIC EXCELLENCE","057814","Spring 2025","8","33","1662","30","91","3","9","0","0","0","0"
"ACADEMY ISD","014901","Spring 2025","8","131","1886","22","17","109","83","71","54","25","19"
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2025","8","35","1844","11","31","24","69","17","49","6","17"
"ACADEMY OF DALLAS","057810","Spring 2025","8","21","1715","17","81","4","19","0","0","0","0"
"ACADEMY OF VISUAL AND PERFORMING ARTS","220821","Spring 2025","8","20","1734","14","70","6","30","2","10","0","0"
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2025","8","10","1988","1","10","9","90","9","90","4","40"
"ADRIAN ISD","180903","Spring 2025","8","10","1774","5","50","5","50","2","20","0","0"
"ADVANTAGE ACADEMY","057806","Spring 2025","8","87","1750","61","70","26","30","17","20","4","5"
"AGUA DULCE ISD","178901","Spring 2025","8","23","1767","12","52","11","48","3","13","1","4"
"ALAMO HEIGHTS ISD","015901","Spring 2025","8","409","1914","78","19","331","81","256","63","113","28"
"ALBA-GOLDEN ISD","250906","Spring 2025","8","46","1750","25","54","21","46","7","15","0","0"
"ALBANY ISD","209901","Spring 2025","8","35","1757","19","54","16","46","6","17","0","0"
"ALDINE ISD","101902","Spring 2025","8","3822","1791","1858","49","1964","51","1035","27","302","8"
"ALEDO ISD","184907","Spring 2025","8","645","1976","59","9","586","91","476","74","280","43"
"ALICE ISD","125901","Spring 2025","8","282","1828","97","34","185","66","103","37","25","9"
"ALIEF ISD","101903","Spring 2025","8","2688","1812","1169","43","1519","57","892","33","283","11"
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2025","8","4","","","","","","","","",""
"ALLEN ISD","043901","Spring 2025","8","931","1882","164","18","767","82","518","56","162","17"
"ALPINE ISD","022901","Spring 2025","8","54","1930","6","11","48","89","36","67","16","30"
"ALTO ISD","037901","Spring 2025","8","34","1935","3","9","31","91","25","74","8","24"
"ALVARADO ISD","126901","Spring 2025","8","284","1877","75","26","209","74","148","52","65","23"
"ALVIN ISD","020901","Spring 2025","8","2563","1925","537","21","2026","79","1525","60","801","31"
"ALVORD ISD","249901","Spring 2025","8","70","1860","15","21","55","79","37","53","6","9"
"AMARILLO ISD","188901","Spring 2025","8","2095","1886","494","24","1601","76","1157","55","452","22"
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2025","8","12","2044","1","8","11","92","9","75","7","58"
"AMHERST ISD","140901","Spring 2025","8","9","1695","7","78","2","22","0","0","0","0"
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2025","8","42","1981","2","5","40","95","36","86","19","45"
"ANAHUAC ISD","036901","Spring 2025","8","111","1847","38","34","73","66","53","48","19","17"
"ANDERSON-SHIRO CISD","093901","Spring 2025","8","82","1869","20","24","62","76","38","46","17","21"
"ANDREWS ISD","002901","Spring 2025","8","303","1920","43","14","260","86","203","67","84","28"
"ANGLETON ISD","020902","Spring 2025","8","360","1800","161","45","199","55","111","31","27","8"
"ANNA ISD","043902","Spring 2025","8","372","1765","196","53","176","47","59","16","15","4"
"ANSON ISD","127901","Spring 2025","8","54","1856","17","31","37","69","25","46","10","19"
"ANTHONY ISD","071906","Spring 2025","8","52","1970","1","2","51","98","45","87","18","35"
"ANTON ISD","110901","Spring 2025","8","11","1788","5","45","6","55","3","27","0","0"
"APPLE SPRINGS ISD","228905","Spring 2025","8","5","1779","2","40","3","60","1","20","0","0"
"AQUILLA ISD","109912","Spring 2025","8","33","1894","9","27","24","73","17","52","8","24"
"ARANSAS PASS ISD","205901","Spring 2025","8","96","1729","66","69","30","31","8","8","0","0"
"ARCHER CITY ISD","005901","Spring 2025","8","34","1922","5","15","29","85","26","76","9","26"
"ARGYLE ISD","061910","Spring 2025","8","490","1950","59","12","431","88","327","67","164","33"
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2025","8","75","1796","27","36","48","64","18","24","1","1"
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2025","8","3","","","","","","","","",""
"ARLINGTON ISD","220901","Spring 2025","8","2825","1797","1262","45","1563","55","792","28","187","7"
"ARP ISD","212901","Spring 2025","8","81","1818","21","26","60","74","30","37","3","4"
"ASPERMONT ISD","217901","Spring 2025","8","7","1894","1","14","6","86","5","71","0","0"
"ATHENS ISD","107901","Spring 2025","8","219","1809","94","43","125","57","68","31","20","9"
"ATLANTA ISD","034901","Spring 2025","8","110","1802","39","35","71","65","36","33","3","3"
"AUBREY ISD","061907","Spring 2025","8","306","1897","87","28","219","72","175","57","80","26"
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2025","8","13","1676","13","100","0","0","0","0","0","0"
"AUSTIN ISD","227901","Spring 2025","8","4983","1864","1644","33","3339","67","2332","47","1029","21"
"AUSTWELL-TIVOLI ISD","196901","Spring 2025","8","14","1782","6","43","8","57","2","14","0","0"
"AVALON ISD","070901","Spring 2025","8","16","1789","5","31","11","69","3","19","1","6"
"AVERY ISD","194902","Spring 2025","8","25","1893","2","8","23","92","15","60","4","16"
"AVINGER ISD","034902","Spring 2025","8","8","1815","3","38","5","63","2","25","1","13"
"AXTELL ISD","161918","Spring 2025","8","58","1772","29","50","29","50","10","17","2","3"
"AZLE ISD","220915","Spring 2025","8","544","1842","181","33","363","67","227","42","75","14"
"BAIRD ISD","030903","Spring 2025","8","16","1846","6","38","10","63","7","44","4","25"
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2025","8","39","1736","25","64","14","36","4","10","1","3"
"BALLINGER ISD","200901","Spring 2025","8","63","1813","29","46","34","54","22","35","3","5"
"BALMORHEA ISD","195902","Spring 2025","8","10","1982","0","0","10","100","9","90","3","30"
"BANDERA ISD","010902","Spring 2025","8","176","1898","41","23","135","77","95","54","38","22"
"BANGS ISD","025901","Spring 2025","8","36","1806","12","33","24","67","11","31","1","3"
"BANQUETE ISD","178913","Spring 2025","8","34","1810","15","44","19","56","14","41","1","3"
